name,type,rating,price,address,zipCode,note,coordinates
lacha somutm,thai,4.6,1,5171 hollywood blvd,90027,isaan sausage,"34.102079999658656, -118.30287954524144"
taron bakery,armenian,4.5,1,4950 hollywood blvd,90027,armenian bakery,"34.10306436135933, -118.29757968460632"
chuan chim thai cafe,thai,4.6,1,5644 hollywood blvd,90028,,"34.10168703621626, -118.31304163174993"
natalie peruvian seafood restaurant,seafood,4.3,1,5759 hollywood blvd,90028,,"34.10240314410676, -118.31511726497573"
siam sunset,thai,4.6,1,5265 sunset blvd,90027,thai breakfast donuts,"34.09844935323779, -118.30473171640554"
all time,breakfast,4.3,1,2040 hillhurst ave,90027,breakfast burrito,"34.09844935323779, -118.30473171640554"
la rose cafe,filipino,4.5,1,4749 fountain ave,90029,"cebuchon, pinkabet","34.090845430329374, -118.30796697407801"
tlayuda la restaurant,mexican,4.5,1,5450 santa monica blvd,90029,oaxacan,"34.090845430329374, -118.30796697407801"
dear bella creamery,ice cream,4.6,1,1253 vine st #12,90038,plant based,"34.09436385236305, -118.32779437407784"
musso & frank grill,american,4.6,3,6667 hollywood blvd,90028,strong drinks,"34.101939166399724, -118.33536101979057"
el churrasco chapin,guatemalan,4.4,1,820 n western ave,90029,,"34.08550454322332, -118.30858428571696"
le coupe,chicken,4.7,1,709 n western ave,90029,"chicken dredged in chile honey, corn ribs, blue cornbread, watermelon salad","34.083983489421705, -118.30937890291439"
luv2eat thai bistro,thai,4.5,2,6660 sunset blvd,90028,,"34.0979383975643, -118.33593830291382"
ramen tatsunoya,ramen,4.5,1,3440 sunset blvd,90026,,"34.09026280123649, -118.27693909052655"
wow choripan,argentinian,4.6,1,375 n western ave,90004,,"34.07815827451928, -118.3093238164063"
all day baby,breakfast,4.2,1,3200 sunset blvd,90026,"breakfast burrito, biscuit sandwhich","34.08561991468537, -118.27510180291428"
saikai ramen bar,ramen,4.8,2,209 n western ave #b,90004,ramen. sandos,"34.075233768014215, -118.30962890291471"
astro family restaurant,diner,4.3,1,2300 fletcher dr,90039,"old school fam diner. veal parmesan, pastitsio","34.10461336049998, -118.25858440259259"
bodega park,sandwich,4.5,1,2852 sunset blvd,90026,chopped cheese,"34.08271322017701, -118.2731919298977"
farina pizza,pizza,4.8,1,119 s western ave,90004,,"34.07515293379964, -118.30913427761607"
oui melrose,restaurant,4.5,1,6909 melrose ave,90038,random stuff on menu,"34.08389984796307, -118.34197796058673"
barn cafe and restaurant,restaurant,4.5,1,228 s oxford ave,90004,cafe in day and bar during nite. korean anju,"34.07121966376696, -118.30771814802078"
all angolo pizza and pasta,pizza,4.3,1,4050 w 3rd st,90020,,"34.0689261643917, -118.30191329096216"
mini kabob,armenian,4.8,2,313 1/2 vine st,91204,,"34.141116569403124, -118.25855961640411"
dollar hits,filipino,4.4,1,2432 w temple st,90026,,"34.07163272822482, -118.27292850291475"
mensch bakery,bakery,4.6,2,7122 beverly blvd,90036,jewish bakery,"34.07618220579587, -118.344944889423"
foxy's restaurant,american,4.5,1,206 w colorado st,91204,"brunch, chile relleno omelets, huevos machaca, chilaquiles, tri tip barbacoa with eggs","34.14244891761967, -118.2567286621088"
kubo restaurant,filipino,4.1,1,2330 w temple st,90026,,"34.071477802804274, -118.27170610476772"
yakis the original teriyaki,restaurant,4.3,1,904 w alameda ave,91506,,"34.16648776680989, -118.31175080969645"
maxs restaurant,filipino,4.2,2,313 w broadway,91204,sisig,"34.147169223210625, -118.25879060661791"
bea beas,breakfast,4.3,1,301 n central ave,91203,"breakfast, pancakes, green tea pancakes","34.15415881077139, -118.25846948768196"
monta factory,restaurant,4.7,1,1208 w glenoaks blvd,91201,armenian dumplings,"34.16523571868338, -118.28186538756717"
sasoun bakery,bakery,4.7,1,625 e colorado st,91205,,"34.14495585339125, -118.24749038091736"
nerssess vanak restaurant,persian,4.5,2,6524 san fernando rd,91201,"dial - iranian lamb stew, abghost, lavash","34.16847663491929, -118.29067043174766"
cofax,cafe,4.3,1,440 n fairfax ave,90036,fancier breakfast burritos,"34.079522685076476, -118.36122348757014"
little ongpin,filipino,3.9,1,1700 beverly blvd,90026,"turons, soups, miki bihon","34.066958548652096, -118.26599508511705"
button mash,tacos,4.5,2,1391 sunset blvd,90026,,"34.07429218344426, -118.25159528757035"
corner cottage,breakfast,4.6,1,310 s victory blvd,91502,"burritos, salsa","34.170975136666144, -118.3149051029114"
guelaguetza restaurant,mexican,4.3,2,3014 w olympic blvd,90006,mole negro,"34.05255848800595, -118.30066810291555"
carribean soul kitchen la,caribbean,4.7,2,5354 wilshire blvd,90036,"carribean and panamanian food, fresh drinks, fried whole snapper, patacon - fried plantain and fried yuca, sancochio - rice corn chicken yuca soup, yuca ball","34.06232537536023, -118.34558384709574"
langers deli,deli,4.6,2,704 s alvarado,90057,latkes - potato pancake - try with ketchup or apple sauce and sour cream,"34.05636493609678, -118.27684221825979"
met her at a bar,cafe,4.6,1,759 s la brea,90036,"unique waffle choices, khai jia (thai omelette), normal brunch fair","34.06082422627468, -118.34480104524289"
the parks finest,filipino,4.5,2,1267 w temple st,90026,"mama leahs coconut beef, cornbread bibingka","34.06662965661503, -118.25399757561821"
valerie confections,cafe,4.3,3,1936 w glenoaks blvd,91201,,"34.17474947495606, -118.29511776058334"
lutong bahay restaurant,filipino,4.2,1,3756 w ave 40,90065,kare kare and caldereta,"34.11970218612334, -118.22790663174926"
auntie dees pan de manila,bakery,4.3,1,3756 w ave 40 #1g,90065,ensaimadas,"34.11989919604753, -118.22738327407708"
irvs burgers,hamburger,4.4,1,1000 s la brea ave,90019,,"34.063866093653786, -118.34557839919225"
kusina filipina los angeles,filipino,4.2,2,4157 eagle rock blvd,90065,sisig milkfish,"34.122369503111685, -118.22583091978578"
la cevicheria,seafood,4.4,2,3809 w pico blvd,90019,"ceviche, concha negra","34.04781553416221, -118.32278451640728"
yang chow,chinese,4.5,2,819 n broadway,90012,slippery shrimp,"34.0659025657863, -118.23818286293368"
borekas sephardic pastries,bakery,4.8,1,15030 ventura blvd #25,91403,israeli pastries - borekas,"34.15283691122923, -118.46116910628699"
domingos italian deli,deli,4.4,2,17548 ventura blvd,91316,,"34.16175833661901, -118.51575228756727"
maxs restaurant,filipino,4.2,2,313 w broadway,91204,sisig,"34.1471958607119, -118.25872623360121"
ini ristorante,fusion,4.5,3,16129 brookhurst st,92708,japanese italian fusion,"33.72844700935692, -117.95512317594346"
springbok bar & grill,south african,4.5,2,16153 victory blvd,91406,,"34.18707767837341, -118.48572491977056"
nillys burgers,hamburger,4.9,1,17603 pioneer blvd,90701,,"33.87123473478507, -118.08290982990506"
zam zam foods,pakistani,4.2,1,13645/49 s inglewood ave,90250,,"33.908129745024794, -118.36164473360934"
nikis halal grill & karahi,pakistani,4.4,1,2031 e 1st st a3,92705,"karahi, also has indian food","33.74657150462479, -117.83784209103732"
johnnys pastrami,sandwich,4.3,2,4327 w adams blvd,90007,"pastrami reuben, johny fries, pastrami tacos","34.03297490525339, -118.3329802182607"
tacos virgina,mexican,4.3,1,4081 whittier blvd,90023,"menudo, birria de chivo","34.02419314647025, -118.1834926894249"
the independence,pub,4.3,2,205 broadway,90401,"coconut french toast, fried egg sandwhich, endless mimosas, great bloodies","34.01395628078229, -118.49551767748335"
lucys restaurant & bakery,mexican,4.1,2,1330 w washington blvd,90007,,"34.039961648719284, -118.28495753175216"
sau can tho vietnamese kitchen,vietnamese,4.1,2,8450 garvey ave #103,91770,,"34.062570865134816, -118.08460243514422"
nates korner,deli,4.5,1,3960 s main st d,92707,,"33.69478995405597, -117.86869064686891"
